3underscoreN/thevale	team	clerk	playwright	playwright.config.ts:23:  workers: 1, 	playwright.config.ts:17:  fullyParallel: true,	NO	NO	NO	NO			NO	YES	3	0	3	2026-07-16
876-workspace/876	team	workos	playwright	playwright.config.ts:25:  workers: process.env.CI ? 2 : undefined, 	playwright.config.ts:21:  fullyParallel: true,	NO	NO	NO	YES	grant_type;		YES	YES	3	3	1	2026-08-16
a-zahi2002/Capstone---URMS	team	firebase	playwright	playwright.config.ts:15:  workers: 1, 	playwright.config.ts:9:  fullyParallel: false,	NO	NO	NO	NO			NO	YES	18	2	1	2026-08-12
aaron-howard/service-certify	team	workos	playwright	playwright.config.ts:21: workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:15: fullyParallel: true,	NO	NO	NO	YES	424242;		NO	YES	8	2	1	2026-08-12
Abdul-Razack/ecommerce	team	workos	playwright	playwright.config.ts:15:  workers: process.env.CI ? 1 : 2, playwright.config.ts:23:    /* Collect trace on CI only to prevent filesystem artifact collisions with parallel workers */ 	playwright.config.ts:12:  fullyParallel: false,	YES	YES	NO	NO			NO	YES	21	4	0	2026-08-14
ADLenehan/battery	team	workos	playwright	apps/dashboard/playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	apps/dashboard/playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	NO		inbucket;	NO	NO	23	1	0	2026-01-13
aliaksei-lyzo/github-copilot-workshop	team	auth0	playwright+cypress	playwright.config.ts:23:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:17:  fullyParallel: true,	YES	YES	NO	NO			YES	YES	52	10	0	2025-12-04
Amaxa-Impact/amaxa	team	workos	playwright	apps/platform/playwright.config.ts:52:  workers: process.env.CI ? 1 : 2, 	apps/platform/playwright.config.ts:46:  fullyParallel: true,	YES	YES	YES	NO			NO	YES	7	0	3	2026-04-05
amirrudd/flyerboard	team	descope	playwright	playwright.config.ts:8:    workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:5:    fullyParallel: true,	YES	YES	NO	NO			YES	NO	8	1	0	2026-08-14
AnayDhawan/tourneyradar	team	firebase	playwright	ABSENT	playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	NO			NO	NO	2	0	23	2026-08-12
anietieakpan/kazuq	team	supertokens	playwright+cypress	apps/web/playwright-visual.config.ts:16:  workers: process.env.CI ? 1 : undefined, 	apps/web/playwright-visual.config.ts:10:  fullyParallel: true,	YES	YES	NO	YES	424242;	mailhog;mailtrap;	YES	YES	8	2	0	2026-07-08
annasvst/ecom-100125	team	auth0	playwright	playwright.config.ts:24:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:18:  fullyParallel: true,	YES	YES	NO	NO			NO	YES	4	0	0	2025-12-11
AnxForever/stylekit	team	supabase	playwright	tests/playwright.config.ts:32:  workers: process.env.CI ? 1 : undefined,  ||SERIALDECL|| ./tests/e2e/back-navigation.spec.ts:4:  test.describe.configure({ mode: "serial" });	tests/playwright.config.ts:28:  fullyParallel: true,	NO	NO	NO	NO			YES	NO	173	2	381	2026-08-16
aravinth081/sabi-returns-gift	team	firebase	playwright	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	2	0	0	2026-08-08
Ari-S-123/cable	team	workos	playwright	ABSENT	playwright.config.ts:8:  fullyParallel: false,	NO	NO	NO	NO			NO	NO	13	0	0	2026-07-24
ariakit/ariakit	team	clerk	playwright	app/playwright.config.ts:34:  workers: HEADED || PERF ? 1 : CI ? "100%" : "80%", website/playwright.config.ts:19:  workers: HEADED ? 1 : CI ? "100%" : "80%", 	app/playwright.config.ts:33:  fullyParallel: !HEADED && !PERF,	NO	NO	NO	YES	+clerk_test;424242;		NO	YES	0	0	8596	2026-08-15
