3underscoreN/thevale	team	clerk	playwright	playwright.config.ts:23:  workers: 1, 	playwright.config.ts:17:  fullyParallel: true,	NO	NO	NO	NO			NO	YES	3	0	3	2026-07-16	NO	NO	
876-workspace/876	team	workos	playwright	playwright.config.ts:25:  workers: process.env.CI ? 2 : undefined, 	playwright.config.ts:21:  fullyParallel: true,	NO	NO	NO	YES	grant_type;		YES	YES	3	3	1	2026-08-16	NO	NO	
ADLenehan/battery	team	workos	playwright	apps/dashboard/playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	apps/dashboard/playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	NO		inbucket;	NO	NO	23	1	0	2026-01-13	NO	NO	
ARKlab/Ark.Starters.SPA	team	auth0	cypress	ABSENT	ABSENT	YES	NO	NO	NO			NO	NO	34	2	1	2026-08-15	YES	NO	./cypress/support/commands.ts:7:  cy.session( || ./cypress/support/commands.ts:36:  cy.session(
Abdul-Razack/ecommerce	team	workos	playwright	playwright.config.ts:15:  workers: process.env.CI ? 1 : 2, playwright.config.ts:23:    /* Collect trace on CI only to prevent filesystem artifact collisions with parallel workers */ 	playwright.config.ts:12:  fullyParallel: false,	YES	YES	NO	NO			NO	YES	21	4	0	2026-08-14	YES	NO	./tests/admin/admin-login.setup.ts:34:    await page.context().storageState({ path: ADMIN_AUTH_FILE }); || ./tests/admin/admin-login.setup.ts:44:  await page.context().storageState({ path: ADMIN_AUTH_FILE }); || ./tests/fixtures/admin.fixture.ts:9: *   3. All other admin tests load that file via storageState.
Amaxa-Impact/amaxa	team	workos	playwright	apps/platform/playwright.config.ts:52:  workers: process.env.CI ? 1 : 2, 	apps/platform/playwright.config.ts:46:  fullyParallel: true,	YES	YES	YES	NO			NO	YES	7	0	3	2026-04-05	YES	NO	./apps/platform/tests/apply/schedule.e2e.ts:6:  test.use({ storageState: USER_AUTH_STATE }); || ./apps/platform/tests/setup/site-admin.setup.ts:8:    storageStatePath: ADMIN_AUTH_STATE, || ./apps/platform/tests/setup/user.setup.ts:8:    storageStatePath: USER_AUTH_STATE,
AnayDhawan/tourneyradar	team	firebase	playwright	ABSENT	playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	NO			NO	NO	2	0	23	2026-08-12	NO	NO	
AnxForever/stylekit	team	supabase	playwright	tests/playwright.config.ts:32:  workers: process.env.CI ? 1 : undefined,	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	
Ari-S-123/cable	team	workos	playwright	ABSENT	playwright.config.ts:8:  fullyParallel: false,	NO	NO	NO	NO			NO	NO	13	0	0	2026-07-24	NO	NO	
Ashpan/NotionMaps	team	auth0	cypress	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	22	5	0	2025-09-25	NO	NO	
AutomationGods/career-os	team	workos	playwright	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	2	0	0	2026-07-09	NO	NO	
AvichalDwivedi2205/LoopLens	team	workos	playwright	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	1	1	0	2026-06-29	NO	NO	
AyushAgrawal-A2/quadratic	team	workos	playwright	test/e2e/playwright.config.ts:19:  /* Use 1 worker on CI since we parallelize via shards (36 shards), not workers */ test/e2e/playwright.config.ts:22:  workers: process.env.CI ? 1 : '50%',  ||SERIALDECL|| ./test/e2e/src/formatting.spec.ts:30:  test.describe.configure({ mode: 'serial' });	test/e2e/playwright.config.ts:14:  fullyParallel: true,	NO	NO	NO	YES	424242;		YES	YES	42	2	1	2026-04-20	NO	NO	
Barbienestar/frontend	team	firebase	cypress	ABSENT	ABSENT	NO	NO	NO	YES	connectAuthEmulator;		NO	NO	6	6	0	2026-06-13	NO	NO	
BryanAM/sajeon	team	kinde	playwright	playwright.config.ts:21:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:15:  fullyParallel: true,	NO	NO	NO	NO			NO	YES	6	0	2	2025-05-10	NO	NO	
BuiltByDennis/SkillFinder-ideas	team	clerk	playwright	frontend/playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	frontend/playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	YES	424242;		YES	NO	1	1	1	2026-06-19	NO	NO	
ChaiWithJai/queens-world-monitor	team	clerk	playwright	playwright.config.ts:5:  workers: 1,  ||SERIALDECL|| ./e2e/rag-vector-store.spec.ts:6:  test.describe.configure({ mode: 'serial' });	ABSENT	NO	NO	NO	YES	424242;grant_type;		YES	NO	954	23	0	2026-07-28	NO	NO	
ChouquetteCorp/beerbet	team	supabase	cypress	ABSENT	ABSENT	NO	NO	NO	NO		inbucket;	NO	NO	7	3	13	2025-03-21	NO	NO	
Cimpo1/SOEN341---DYEVRAQ	team	auth0	playwright	playwright.config.ts:23:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:17:  fullyParallel: true,	NO	NO	NO	NO			YES	YES	1	1	1	2025-04-18	NO	NO	
Clvrwrk/fleetvolt	team	workos	playwright	apps/web/playwright.config.ts:12:  workers: 1, 	apps/web/playwright.config.ts:9:  fullyParallel: false,	NO	NO	NO	NO			NO	NO	11	0	0	2026-07-17	NO	NO	
Cnoyy/DOC-REVIEW	team	workos	playwright	playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	YES	424242;		YES	NO	1	1	0	2026-06-16	NO	NO	
Coachb1/webapp_deep	team	kinde	cypress	ABSENT	ABSENT	YES	YES	NO	NO			YES	NO	8	8	0	2026-05-21	YES	NO	./cypress/support/commands.ts:7:  cy.session("loggedInUser", () => {
