jacome7/Mythoria-webapp	team	clerk	1	2026-08-15	master	playwright.config.ts,
3underscoreN/thevale	team	clerk	3	2026-07-16	main	playwright.config.ts,
adminsairolotech-bit/BUDDY-AUTO-MODE	team	supabase	0	2026-04-07	main	lovable_ui_temp/buddy-automation-suite-fdff8e46-main/playwright.config.ts,
velmuruganvelayutham/loan-app	team	clerk	0	2026-06-22	main	cypress.config.js,
katsugtgz/eduadmin-pro	team	workos	0	2026-08-05	main	playwright.config.ts,
Abdul-Razack/ecommerce	team	workos	0	2026-08-14	main	playwright.config.ts,
MisterKinn/formulite-landing	team	firebase	0	2026-03-24	main	playwright.config.ts,
danailov1/MediCore-Center	team	firebase	0	2026-06-09	main	playwright.config.js,playwright.firebase.config.js,
vanessavun/portfolio_v4	team	supabase	2	2025-09-04	main	cypress.config.js,
mananlalwani/SketchFlow	team	clerk	1	2026-08-15	main	apps/client/playwright.config.ts,
unityhubio/unityhubio	team	workos	0	2026-08-16	main	src/web/apps/webapp-host/playwright.config.ts,src/web/apps/webapp-spaces/playwright.config.ts,src/web/apps/webapp-teams/playwright.config.ts,
hypurrquant/Attent_FE	team	clerk	0	2026-02-16	main	playwright.config.ts,
MatheusSimonaci/finorg-app	team	workos	0	2026-07-29	main	finorg/playwright.config.ts,
anuj-ahlawat/campus-erp-system-project	team	clerk	0	2025-11-17	main	cypress.config.ts,
VincentBard/Pool-Boy-Robot	team	auth0	0	2026-02-24	main	playwright.config.ts,
Math244244/Avantage-QUIZZ	team	firebase	0	2025-11-21	main	playwright.config.js,
eabemp1/BuildMind	team	supabase	1	2026-08-16	main	playwright.config.ts,
beddes20/Freight-DNA	team	clerk	0	2026-05-20	main	playwright.config.cjs,
GrupoUS/gpus	team	clerk	1	2026-04-07	main	playwright.config.ts,
c3z/agent-pomodoro	team	clerk	0	2026-03-29	main	playwright.config.ts,
zulkeflrehman/TacticalHub	team	firebase	0	2026-08-03	main	playwright.config.ts,
openclimatefix/quartz-frontend	team	auth0	111	2026-08-15	main	apps/nowcasting-app/cypress.config.ts,
chrisalexan06/SMBLCC-SOEN-341-Project-W26	team	clerk	0	2026-04-14	main	nutrition-flow/playwright.config.ts,playwright.config.ts,
Monique-Duarte/controle-financeiro	team	firebase	1	2025-07-15	main	cypress.config.ts,
JuanFelipep123/UNICONNECT_6_Dashboard_Frontend	team	auth0	0	2026-05-07	dev	playwright.config.ts,
Le-Gris/harc-viewer	team	firebase	0	2026-07-09	main	tests/cypress.config.js,
vuejs-jp/vuefes-2023	team	supabase	23	2025-05-27	main	tests/cypress.config.cjs,
JRHowieGH/Snow_Score_Web	team	clerk	0	2025-08-21	master	playwright.config.ts,
Cooperation-org/LinkedCreds	team	firebase	5	2026-03-10	dev	playwright.config.ts,
cinjoff/fhhs-skills	team	supabase	1	2026-04-23	main	evals/fixtures/nextjs-app-deep/playwright.config.ts,
iDuc/PromptPantry	team	supabase	0	2026-02-02	main	playwright.config.ts,
dilipkumar2k6/url-shortening	team	firebase	0	2026-03-31	master	frontend/playwright.config.js,
AvichalDwivedi2205/LoopLens	team	workos	0	2026-06-29	main	apps/web/playwright.config.ts,
Ut8v/TeamZlit	team	clerk	0	2025-04-08	main	tests/playwright.config.js,
dot-do/registrars	team	workos	0	2025-10-06	main	playwright.config.ts,
lonewanderer27/coffee-lounge-monorepo	team	supabase	0	2026-02-21	main	apps/app/cypress.config.ts,
y4my4my4m/harmony	team	supabase	31	2026-08-16	master	playwright.config.ts,
cmavelis/zug	team	clerk	1	2026-06-23	dev	cypress.config.ts,
